cluster,feature,mean,median,std,min,max
9,Inst Wind Speed_D1_D30(in Knots),10.0,10.0,0.0,10.0,10.0
9,Inst Wind Speed_D31_D60(in Knots),4.0,4.0,0.0,4.0,4.0
9,Inst Wind Speed_D61_D90(in Knots),10.0,10.0,0.0,10.0,10.0
9,Inst Wind Speed_D91_D120(in Knots),6.0,6.0,0.0,6.0,6.0
9,Relative Humidity_D1_D30,64.60000000000001,64.6,1.4235504958732893e-14,64.6,64.6
9,Relative Humidity_D31_D60,85.0,85.0,0.0,85.0,85.0
9,Relative Humidity_D61_D90,84.0,84.0,0.0,84.0,84.0
9,Relative Humidity_D91_D120,87.0,87.0,0.0,87.0,87.0
9,Trash(in bundles),432.9757785467128,400.0,74.71336036372395,320.0,600.0
9,Paddy yield(in Kg),29325.2214532872,30610.0,4128.587314648566,22080.0,38814.0
